p_id,wwa_names
EPO77VBNDHYXC5L4M3,"['Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO77VDZDV5LMGD4M9,"['Severe Thunderstorm Warning', 'Flash Flood Warning', 'Marine Warning', 'Marine Warning']"
EPO77VFD67MR5R44M7,"['Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning']"
EPO77VFJ2CJKML44M9,"['Red Flag Warning', 'Fire Weather Watch']"
EPO77VFD4CZHV2M4M0,"['Beach Hazard Statement', 'High Surf Advisory']"
EPO77VFJNC6WZGC4M2,[]
EPO77VFK7YV6PSP4M2,"['High Surf Advisory', 'Beach Hazard Statement']"
EPO77VFJCRK7C6D4M1,"['Red Flag Warning', 'Red Flag Warning', 'Red Flag Warning', 'Flash Flood Watch', 'Flash Flood Watch', 'Severe Thunderstorm Warning']"
EPO77VFNLZ7JM894M7,"['Heat Advisory', 'Heat Advisory']"
EPO77VFPD6RK7Q34M6,"['Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flash Flood Warning', 'Flood Advisory']"
EPO77VFMXNK3KV54M1,['Red Flag Warning']
EPO77VDM9WRF6HJ4M9,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO77VFSLZ87WK44M4,"['Severe Thunderstorm Warning', 'Marine Warning', 'Marine Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory']"
EPO77VFJSVTCN6M4M6,"['Heat Advisory', 'Heat Advisory']"
EPO77VFM7H8D7RJ4M7,"['Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Heat Advisory', 'Heat Advisory', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning']"
EPO77VFDTQ6LF744M1,[]
EPO77VFL36WTT2T4M8,"['Flash Flood Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Severe Thunderstorm Warning', 'Flood Advisory', 'Flash Flood Warning', 'Flash Flood Warning', 'Flood Advisory', 'Heat Advisory', 'Heat Advisory']"
EPO77VFXLZ8X6TX4M0,[]
EPO77VFCQLYRGXG4M6,[]
